Symbol,Date,Close,High,Low,Open,Volume
ZION,2006-01-02,75.56,76.25,75.274,75.93,0
ZION,2006-01-03,76.48,76.52,75.13,75.82,663070
ZION,2006-01-04,77.02,77.23,76.374,76.44,515588
ZION,2006-01-05,77.72,77.83,76.97,76.97,529706
ZION,2006-01-06,78.53,78.65,77.52,77.9,537000
ZION,2006-01-09,77.88,78.31,77.56,78.22,637203
ZION,2006-01-10,76.97,77.62,76.7,77.54,411535
ZION,2006-01-11,77.42,77.5,76.74,76.88,428247
ZION,2006-01-12,76.25,77.58,76.18,77.58,272632
ZION,2006-01-13,77.04,77.04,76.39,76.6,541837
ZION,2006-01-16,77.04,77.04,76.39,76.6,0
ZION,2006-01-17,76.67,77.22,75.5,76.49,357647
ZION,2006-01-18,76.85,77.41,76.22,76.29,271333
ZION,2006-01-19,77.52,77.52,76.761,76.761,341282
ZION,2006-01-20,75.72,77.87,75.6,77.32,650875
ZION,2006-01-23,76.05,76.89,75.37,75.58,432983
ZION,2006-01-24,77.36,77.46,75.991,76.23,662315
ZION,2006-01-25,80.61,81.45,77.75,78.0,1690016
ZION,2006-01-26,81.34,81.6,80.47,80.62,803299
ZION,2006-01-27,80.8,80.8,80.04,80.8,1278060
ZION,2006-01-30,79.34,80.15,79.2,80.15,491295
ZION,2006-01-31,79.07,79.82,78.46,79.61,626023
ZION,2006-02-01,79.0,79.74,78.7,78.79,884163
ZION,2006-02-02,78.33,79.05,78.12,78.7,292099
ZION,2006-02-03,79.12,79.32,77.28,77.91,623633
ZION,2006-02-06,78.51,79.25,78.27,78.77,396597
ZION,2006-02-07,78.7,78.7,78.1,78.25,284721
ZION,2006-02-08,78.7,78.98,77.72,78.7,343080
ZION,2006-02-09,79.26,79.88,78.13,78.47,516642
ZION,2006-02-10,80.0,80.44,78.99,78.99,609200
ZION,2006-02-13,80.32,80.32,79.22,79.58,336137
ZION,2006-02-14,80.69,80.69,79.081,79.38,570031
ZION,2006-02-15,80.92,81.0,80.05,80.45,559163
ZION,2006-02-16,81.58,81.7,80.52,80.72,497287
ZION,2006-02-17,80.13,81.78,79.61,81.64,767857
ZION,2006-02-20,80.13,81.78,79.61,81.64,0
ZION,2006-02-21,80.96,81.46,80.63,80.83,415028
ZION,2006-02-22,83.09,83.38,80.92,81.1,608013
ZION,2006-02-23,83.09,83.78,81.76,82.81,363121
ZION,2006-02-24,83.72,83.91,82.59,82.96,631956
ZION,2006-02-27,83.18,84.06,83.09,83.85,439475
ZION,2006-02-28,82.52,83.46,81.9,83.04,610313
ZION,2006-03-01,83.68,83.68,82.31,82.31,424880
ZION,2006-03-02,82.99,83.45,82.18,83.21,326496
ZION,2006-03-03,82.09,83.02,82.01,82.9,390869
